,business_id,stars_biz
0,--9e1ONYQuAa-CB_Rrw7Tw,4.0
1,-3zffZUHoY8bQjGfPSoBKQ,4.0
2,-8R_-EkGpUhBk55K9Dd4mg,3.5
3,-9YyInW1wapzdNZrhQJ9dg,2.5
4,-AD5PiuJHgdUcAK-Vxao2A,3.5
5,-AGdGGCeTS-njB_8GkUmjQ,4.5
6,-Bf8BQ3yMk8U2f45r2DRKw,4.0
7,-Bv-HHUs8aHzDrdWcZHn8w,3.0
8,-C8sSrFqaCxp51pyo-fQLQ,4.5
9,-CQokjildrY7UZezXCdEBw,5.0
10,-DnaKAs2oK3rXfrjSvn9ew,4.5
11,-EohS3nXZGl6odE9Lx5BSw,1.0
12,-FNquqGseSCVMWo7KbK-Tg,3.5
13,-FcZY7a7qgxTUlTvwuyJnQ,3.0
14,-G7MPSNBpxRJmtrJxdwt7A,3.5
15,-IWsoxH7mLJTTpU5MmWY4w,4.0
16,-JFVxwdVQfX207554dx1nw,3.5
17,-Jo0rJr2mZxBVgaJqDs-TQ,4.0
18,-K82LBrI3H0FVuhTbNDpRA,3.5
19,-LMycE26AortJDsbc8oXOg,3.0
20,-Le6cwbZL4tDZwNHwipfKg,4.5
21,-LzUYsR54hd8cCiYXTquRA,3.0
22,-N_agk8RUHvHk3GVDsyunQ,4.0
23,-NjZ5HZApXjRJaTVZeSO_w,4.0
24,-OEIW0dO96-492qa_luxaw,4.0
25,-P8dGzSVhJi-5oZ-8U2y0w,2.5
26,-PGsEXB6DFTVKa1eDOlzWA,3.5
27,-QNQ4R1VgRoL4b6lC8Anrg,3.0
28,-RJ216TTIghZshCkUlD1WQ,4.5
29,-SWWUof5TuWDVL5SEAml8Q,4.0
30,-Sgt6wFx05Ox-O1ZSC3LOA,4.0
31,-Tv5UZeFHdKz3RM9vOYpaw,3.5
32,-U7tvCtaraTQ9b0zBhpBMA,2.5
33,-Uix-n4Jqo4W7ERagC5qAA,4.0
34,-UtYWvCnUppcSaC_u1pTYQ,3.5
35,-WLrZPzjKfrftLWaCi1QZQ,4.0
36,-WQhVJnBmyapFn0digQJwg,4.5
37,-XKG6GamlSBwy5AcXQGAfA,3.5
38,-YBC5pR2eW0C2sPygH25MA,3.0
39,-YCd2_DdJUeZx3RRcmIZ_g,2.5
40,-YWr1wm_NaAlgEf9TZzsMQ,2.5
41,-Ylpy3VyRWwubf9dysuwjQ,4.0
42,-_TSaVr53qiEGqMkwyEMaQ,4.5
43,-_yEVC3_3M6YOsamYfNFEw,4.0
44,-a857YYdjzgOdOjFFRsRXQ,4.0
45,-dGORHtjPRnQzTZ2-SYa_g,3.0
46,-ed0Yc9on37RoIoG2ZgxBA,4.0
47,-hzQQ8tbXThpp0k5E_y1Dw,3.0
48,-iBk1_3M_efQtY6Bcygp5w,4.5
49,-iFvYhgysvjkxckCr42NRw,4.0
50,-jEyZSptICvvaNhuur9rUg,2.5
51,-kbPPBNsIPDfMfgUGO7QhA,4.0
52,-leM8v_oCbtzTthTln-YHg,3.0
53,-mN7z9oY01Mh_-dwTyzpqg,3.5
54,-n1g9MdeG46v1-gzZ4ldvQ,2.5
55,-pGO9M4JLQJHiaCOrqCgbQ,3.0
56,-sEbDB_5jI_yIlklu1o1VQ,3.5
57,-sN_og_84rLW22CaE3cjVw,4.0
58,-tseCGdDvepLP8IIWtZikQ,4.0
59,-uRn5Hf1uo4vf3UTtOvIfA,3.5
60,-wCtRhzWJ40Z4F8mmg7kWg,4.0
61,-wDNRL4lm1UgeFLG9KcrjQ,3.5
62,01Ov9eDxKRY5k6ImMdiWLQ,3.0
63,01SiPgdiOskMC5bUJoyy_g,3.5
64,01VPJkcU0m8WzlA7dCEpVQ,4.5
65,03Yt7kMeYihN_y6ptiXxyQ,3.0
66,03icrim6SfEQJlejDMbzsA,4.0
67,05Solp0aY1YTZqoORMjUTg,2.5
68,065c76tt1dXBNmoGBymUgQ,4.0
69,06MlxbtB4ZYeg_ri02RIAQ,2.5
70,07AZL5XenCQ_-op_onKLdw,4.0
71,0AQnRQw34IQW9-1gJkYnMA,3.0
72,0AZCpDQpbi83NHh9uEpggQ,2.0
73,0CB7YB1qRSWLQvMbHw3Fmw,4.0
74,0CwhlQzyXG_7RqEu-2pMSQ,3.0
75,0DQ31asd4IeOTI7dkZ3OXQ,3.0
76,0EH_sUvRkgpa4cjHm3hQNQ,4.0
77,0EgYXYjt2XJL4hlsKnzrcw,4.5
78,0EpnzIpeFvhISkxMTIv9WA,4.5
79,0FHfkDxKSeDuyAEeaY6X-Q,3.5
80,0G1y7uV7w1D2uziS4Lt_Dw,3.5
81,0HG02r8ri7GEFwuwmdHCyg,2.0
82,0Hcks5q-DgJbDlmEWolx4A,3.5
83,0IjBFHFm8M-VPyym-Xrkhw,3.5
84,0InA3Ffj8MxyQV9hgsyYcQ,4.0
85,0LGnU7V3nepi8NUNzyQOXw,3.5
86,0M7rIhQLKD-j2XSnKgt2ng,2.0
87,0N53m33GANYeHHl-s22d4Q,4.5
88,0Nb4piKDUVbedlrakwEUuw,3.5
89,0NmTwqYEQiKErDv4a55obg,4.0
90,0OdZXIKQypu6vplpxFilsA,3.5
91,0QSnurP5Ibor2zepJmEIlw,4.0
92,0S4WFZJZhVeM3aAqKjLz1w,3.5
93,0TljdWRIDQzlp4siHQ_BAQ,2.0
94,0UESjBq6_kPjCs4zPh4oEQ,3.5
95,0VjHFdczi6Nln_nn8bucJQ,4.0
96,0WPXDs4ini3D7jpiy1Daqw,3.5
97,0WoQQlMXVIDEgI0xNdENKA,3.5
98,0XEqyl_lVaJNHRKxNcjJZg,4.5
99,0YG_kM5caZhtwd6nbnei6A,4.5
100,0YctfylXsdutJo8qFYnZJA,3.5
101,0_aeYE2-VbsZts_UpILgDw,4.0
102,0_mJttUgHIzC-NO18gcgBA,4.0
103,0ahghcpWQVkm4lEFwx-peA,3.5
104,0aw3HbxkZ4G7pkPYt10fhA,3.0
105,0bWLkWeIcT-EnrE7SiGEBA,4.0
106,0boIkJLbBObd_ow6gQ8WNQ,4.5
107,0c6PQILCLwRZ8FIB4AEsGw,3.5
108,0d0i0FaJq1GIeW1rS2D-5w,4.5
109,0dr1FgqQSEMbaTu9SDqiIg,3.5
110,0gTTGuA6uEmMhLhfJi0hqA,3.5
111,0i9S0BejjRv0ZDwdO9XymA,5.0
112,0iM8uF2D9iL8eau_tkPlRA,3.5
113,0jtRI7hVMpQHpUVtUy4ITw,4.0
114,0n3vcq00Z4ijqwwn-INfkg,4.5
115,0odAupWjDV8gwhaLqyh1-A,2.0
116,0p27EjcNwTI7Ey4K_MNPww,3.0
117,0ps5B5C6oNaRsGyUJzFCuw,4.0
118,0q_BHpxbikVtPRRLRu-U0g,4.5
119,0qet57CmMA5qUm6gPFUTpg,2.5
120,0rk2_lmbfpiYXGBFmyxx9Q,3.5
121,0tnZj3GkhKxPd9hT3HXt5A,4.0
122,0uR48n5SYcLE_DLcjONZPg,4.0
123,0uzQymPVW2l24rpjX9KIBA,2.0
124,0v55V13hPb3sSF03widnKg,2.5
125,0w3BdEOxvwKTpypwbN5kiQ,3.5
126,0xtBEP5zCu1153SoqqemLw,4.5
127,0xvdC8F0HmFpAFkJk6nXLg,4.5
128,0y51pd3UjmtRR8jGODL-Pg,4.5
129,0yYwrT1vYV0Jvzj74JjLqg,3.5
130,0ydy2fdDg6kpGy1dbnHYsQ,3.5
